ticker,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AZEK,2021-04-27T00:00:00Z,50.8,50.89,49.82,50.3,513831,50.8,50.89,49.82,50.3,513831,0,1
AZFL,2021-04-27T00:00:00Z,0.0039,0.0046,0.0036,0.0045,305831496,0.0039,0.0046,0.0036,0.0045,305831496,0,1
AZGFF,2021-04-27T00:00:00Z,0.0035,0.0035,0.0035,0.0035,12500,0.0035,0.0035,0.0035,0.0035,12500,0,1
AZLCZ,2021-04-27T00:00:00Z,348,348,348,348,0,348,348,348,348,0,0,1
AZMCF,2021-04-27T00:00:00Z,2.1205,2.1364,2.04,2.1,40795,2.1205,2.1364,2.04,2.1,40795,0,1
AZN,2021-04-27T00:00:00Z,52.37,52.81,52.31,52.8,8341367,52.37,52.81,52.31,52.8,8341367,0,1
AZO,2021-04-27T00:00:00Z,1455.79,1462.16,1441.7,1451.33,187879,1455.79,1462.16,1441.7,1451.33,187879,0,1
AZPN,2021-04-27T00:00:00Z,152.54,153.7,150.27,152.99,184761,152.54,153.7,150.27,152.99,184761,0,1
AZRE,2021-04-27T00:00:00Z,24.99,26.2,24.93,26.2,206814,24.99,26.2,24.93,26.2,206814,0,1
AZRX,2021-04-27T00:00:00Z,1.03,1.0699,0.8736,0.9047,14520536,1.03,1.0699,0.8736,0.9047,14520536,0,1
AZUL,2021-04-27T00:00:00Z,21.64,22.3384,21.53,21.57,624027,21.64,22.3384,21.53,21.57,624027,0,1
AZYO,2021-04-27T00:00:00Z,12.05,12.2999,11.48,12.2999,5090,12.05,12.2999,11.48,12.2999,5090,0,1
AZZ,2021-04-27T00:00:00Z,53.43,53.69,52.55,53.1,165686,53.43,53.69,52.55,53.1,165686,0,1
AZZUF,2021-04-27T00:00:00Z,0.21975,0.233,0.2172,0.233,32240,0.21975,0.233,0.2172,0.233,32240,0,1
B,2021-04-27T00:00:00Z,50.36,50.9099,50.04,50.71,97437,50.36,50.9099,50.04,50.71,97437,0,1
BA,2021-04-27T00:00:00Z,242.47,243.49,239.41,241.88,10490306,242.47,243.49,239.41,241.88,10490306,0,1
BAB,2021-04-27T00:00:00Z,32.45,32.59,32.41,32.59,155297,32.45,32.59,32.41,32.59,155297,0,1
BABA,2021-04-27T00:00:00Z,235.92,236.93,232.08,233.44,11328912,235.92,236.93,232.08,233.44,11328912,0,1
BABB,2021-04-27T00:00:00Z,0.72,0.733,0.716,0.733,10202,0.72,0.733,0.716,0.733,10202,0,1
BABL,2021-04-27T00:00:00Z,0.0599,0.062,0.0482,0.06,284455,0.0599,0.062,0.0482,0.06,284455,0,1
BABYF,2021-04-27T00:00:00Z,2.2,2.49,2.1,2.16,258044,2.2,2.49,2.1,2.16,258044,0,1
BAC,2021-04-27T00:00:00Z,39.88,39.92,39.51,39.67,33861447,39.88,39.92,39.51,39.67,33861447,0,1
BACHY,2021-04-27T00:00:00Z,9.98,9.98,9.9466,9.96,159742,9.98,9.98,9.9466,9.96,159742,0,1
BADFF,2021-04-27T00:00:00Z,32.7605,32.7605,32.4998,32.4998,1103,32.7605,32.7605,32.4998,32.4998,1103,0,1
BAESY,2021-04-27T00:00:00Z,27.625,27.76,27.51,27.5415,113773,27.625,27.76,27.51,27.5415,113773,0,1
BAFYY,2021-04-27T00:00:00Z,8.97,8.97,8.9675,8.97,3055,8.97,8.97,8.9675,8.97,3055,0,1
BAH,2021-04-27T00:00:00Z,82.89,83.2582,82.34,82.74,382552,82.89,83.2582,82.34,82.74,382552,0,1
BAK,2021-04-27T00:00:00Z,20.42,21.01,19.7861,19.79,479794,20.42,21.01,19.7861,19.79,479794,0,1
BAL,2021-04-27T00:00:00Z,50.9197,51.12,49.61,50.2,30973,50.9197,51.12,49.61,50.2,30973,0,1
BALY,2021-04-27T00:00:00Z,59.6,62.76,59.54,59.99,658349,59.6,62.76,59.54,59.99,658349,0,1
BAM,2021-04-27T00:00:00Z,45.43,45.62,45.1,45.43,1237019,45.43,45.62,45.1,45.43,1237019,0,1
BAMH,2021-04-27T00:00:00Z,24.94,25,24.93,24.99,37016,24.94,25,24.93,24.99,37016,0,1
BAMI,2021-04-27T00:00:00Z,24.9514,24.99,24.92,24.9484,22231,24.9514,24.99,24.92,24.9484,22231,0,1
BANC,2021-04-27T00:00:00Z,17.58,17.7523,17.38,17.73,182331,17.58,17.7523,17.38,17.73,182331,0,1
BAND,2021-04-27T00:00:00Z,135.66,139.77,135.35,138.98,315617,135.66,139.77,135.35,138.98,315617,0,1
BANF,2021-04-27T00:00:00Z,69.81,70.47,69.3,70.29,41207,69.81,70.47,69.3,70.29,41207,0,1
BANFP,2021-04-27T00:00:00Z,27,27,27,27,1435,27,27,27,27,1435,0,1
BANM,2021-04-27T00:00:00Z,0.66,0.66,0.66,0.66,1000,0.66,0.66,0.66,0.66,1000,0,1
BANR,2021-04-27T00:00:00Z,57.41,57.64,56.49,57.35,149147,57.41,57.64,56.49,57.35,149147,0,1
BANT,2021-04-27T00:00:00Z,0.01345,0.0144,0.0127,0.0136,11213854,0.01345,0.0144,0.0127,0.0136,11213854,0,1
BANX,2021-04-27T00:00:00Z,19.82,19.9,19.81,19.85,9706,19.82,19.9,19.81,19.85,9706,0,1
BAOS,2021-04-27T00:00:00Z,4.27,4.3498,4.16,4.29,50647,4.27,4.3498,4.16,4.29,50647,0,1
BAP,2021-04-27T00:00:00Z,121.35,123.545,121.04,122.91,682409,121.35,123.545,121.04,122.91,682409,0,1
BAPR,2021-04-27T00:00:00Z,31.0139,31.03,30.86,30.915,16061,31.0139,31.03,30.86,30.915,16061,0,1
BAR,2021-04-27T00:00:00Z,17.65,17.73,17.64,17.7,1137696,17.65,17.73,17.64,17.7,1137696,0,1
BASA,2021-04-27T00:00:00Z,0.285,0.3,0.285,0.3,142925,0.285,0.3,0.285,0.3,142925,0,1
BASFY,2021-04-27T00:00:00Z,21.36,21.58,21.27,21.54,100954,21.36,21.58,21.27,21.54,100954,0,1
BASX,2021-04-27T00:00:00Z,0.106,0.11,0.0891,0.0891,570991,0.106,0.11,0.0891,0.0891,570991,0,1
BATL,2021-04-27T00:00:00Z,11.6,11.65,10.95,11.59,69533,11.6,11.65,10.95,11.59,69533,0,1
BATRA,2021-04-27T00:00:00Z,28.27,28.89,28.2,28.76,19337,28.27,28.89,28.2,28.76,19337,0,1
BATRB,2021-04-27T00:00:00Z,31,31,31,31,0,31,31,31,31,0,0,1
BATRK,2021-04-27T00:00:00Z,27.97,28.55,27.78,28.55,107374,27.97,28.55,27.78,28.55,107374,0,1
BATT,2021-04-27T00:00:00Z,16.12,16.28,16.07,16.27,251062,16.12,16.28,16.07,16.27,251062,0,1
BAUG,2021-04-27T00:00:00Z,31.2309,31.2309,31.16,31.18,25322,31.2309,31.2309,31.16,31.18,25322,0,1
BAX,2021-04-27T00:00:00Z,86.76,87.21,86.17,86.97,1642451,86.76,87.21,86.17,86.97,1642451,0,1
BAYRY,2021-04-27T00:00:00Z,16.64,16.69,16.54,16.64,440749,16.64,16.69,16.54,16.64,440749,0,1
BB,2021-04-27T00:00:00Z,9.29,9.6196,8.87,9.16,20948265,9.29,9.6196,8.87,9.16,20948265,0,1
BBAL,2021-04-27T00:00:00Z,0.012,0.012,0.012,0.012,0,0.012,0.012,0.012,0.012,0,0,1
BBAR,2021-04-27T00:00:00Z,2.69,2.71,2.59,2.59,418469,2.69,2.71,2.59,2.59,418469,0,1
BBAVY,2021-04-27T00:00:00Z,22.33,22.33,22.33,22.33,0,22.33,22.33,22.33,22.33,0,0,1
BBAX,2021-04-27T00:00:00Z,59.51,59.53,59.33,59.41,92400,59.51,59.53,59.33,59.41,92400,0,1
BBBY,2021-04-27T00:00:00Z,26.4,27.24,26.01,26.07,3046714,26.4,27.24,26.01,26.07,3046714,0,1
BBC,2021-04-27T00:00:00Z,51.8355,52.3,51.7094,52.3,1690,51.8355,52.3,51.7094,52.3,1690,0,1
